BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Pubmed ID,Organism Interactor A,Organism Interactor B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source Database
2216544,11118,10384,116293,115657,-,-,BTN3A2,BTN3A3,BT3.2|BTF4|BTN3.2|CD277,BTF3|BTN3.3,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,1.0,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
3094107,11118,10384,116293,115657,-,-,BTN3A2,BTN3A3,BT3.2|BTF4|BTN3.2|CD277,BTF3|BTN3.3,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,1.0,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3157211,10384,11118,115657,116293,-,-,BTN3A3,BTN3A2,BTF3|BTN3.3,BT3.2|BTF4|BTN3.2|CD277,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,1.0,-,-,"BioPlex HCT HCT116 cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
2825715,128866,84687,126170,124202,-,-,CHMP4B,PPP1R9B,C20orf178|CHMP4A|CTPP3|CTRCT31|SNF7|SNF7-2|Shax1|VPS32B|Vps32-2|dJ553F4.4,PPP1R6|PPP1R9|SPINO|Spn,Affinity Capture-MS,physical,Capalbo L (2019),31586073,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2825762,128866,6281,126170,112189,-,-,CHMP4B,S100A10,C20orf178|CHMP4A|CTPP3|CTRCT31|SNF7|SNF7-2|Shax1|VPS32B|Vps32-2|dJ553F4.4,42C|ANX2L|ANX2LG|CAL1L|CLP11|Ca[1]|GP11|P11|p10,Affinity Capture-MS,physical,Capalbo L (2019),31586073,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
3677751,8347,3017,113943,109270,-,-,HIST1H2BC,HIST1H2BD,H2B.1|H2B/l|H2BFL|dJ221C16.3,H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6,Cross-Linking-MS (XL-MS),physical,Wheat A (2021),34349018,9606,9606,High Throughput,-,-,-,"In vivo cross-linking-mass spectrometry (XL-MS) was carried out in HEK-293 cells using the cross-linking reagent Alkyne-A-DSBSO (Azide/Alkyne-tagged, acid-cleavable disuccinimidyl bissulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR < 1%.",-,BIOGRID
3682612,8347,3017,113943,109270,-,-,HIST1H2BC,HIST1H2BD,H2B.1|H2B/l|H2BFL|dJ221C16.3,H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6,Cross-Linking-MS (XL-MS),physical,Jiao F (2022),35235311,9606,9606,High Throughput,-,-,-,In vitro cross-linking-mass spectrometry (XL-MS) was carried out using HEK-293 cell lysates and the cross-linking reagent DSSO (disuccinimidyl sulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR =&lt; 0.3%.,-,BIOGRID
3708056,3017,8339,109270,113935,-,-,HIST1H2BD,HIST1H2BG,H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6,H2B.1A|H2B/a|H2BFA|dJ221C16.8,Cross-Linking-MS (XL-MS),physical,Bartolec TK (2023),37071682,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
1176147,9789,375056,115133,131952,-,RP11-378J18.4,SPCS2,MIA3,-,ARNT|D320|TANGO|TANGO1|UNQ6077,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.973090088,-,-,"BioPlex 1.0 HEK 293T cells CompPASS score = 0.973090088, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.",-,BIOGRID
3152987,9789,375056,115133,131952,-,RP11-378J18.4,SPCS2,MIA3,-,ARNT|D320|TANGO|TANGO1|UNQ6077,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.998996298,-,-,"BioPlex HCT HCT116 cells CompPASS score = 0.998996298, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3485130,56997,8655,121312,114206,PP265,-,ADCK3,DYNLL1,ARCA2|CABC1|COQ10D4|COQ8|SCAR9,DLC1|DLC8|DNCL1|DNCLC1|LC8|LC8a|PIN|hdlc1,Affinity Capture-MS,physical,Buljan M (2020),32707033,9606,9606,High Throughput,102.0,-,-,Affinity Capture-MS was carried out to identify high confidence protein-protein interactors with a FDR<1% (protein abundance ratio compared to control are reported),-,BIOGRID
2563179,26046,27292,117509,118116,HSPC087,HUSSY-05,LTN1,DIMT1,C21orf10|C21orf98|RNF160|ZNF294,DIM1|DIMT1L|HSA9761|HUSSY5,Affinity Capture-MS,physical,Zuzow N (2018),29540532,9606,9606,High Throughput,-,-,-,The 'hit' protein was identified by mass spectrometry after affinity purification of Ltn1 complexes.,-,BIOGRID
1524304,8209,102724023,113847,3195145,-,-,C21orf33,LOC102724023,ES1|GT335|HES1|KNPH|KNPI,-,Affinity Capture-MS,physical,Floyd BJ (2016),27499296,9606,9606,High Throughput,99.6,-,-,The scores represent percentile of the interaction (out of all interactions) based on the CompPASS algorithm.,-,BIOGRID
3150946,3817,649,110017,107117,-,-,KLK2,BMP1,KLK2A2|hGK-1|hK2,OI13|PCOLC|PCP|PCP2|TLD,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.790475877,-,-,"BioPlex HCT HCT116 cells CompPASS score = 0.790475877, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
2497614,54908,3303,120253,109535,-,DAQB-147D11.1,SPDL1,HSPA1A,CCDC99,HEL-S-103|HSP70-1|HSP70-1A|HSP70I|HSP72|HSPA1,Affinity Capture-MS,physical,Conte C (2018),30258100,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2497678,54908,22820,120253,116496,-,-,SPDL1,COPG1,CCDC99,COPG,Affinity Capture-MS,physical,Conte C (2018),30258100,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2637292,10673,22820,115915,116496,RP11-153I24.1,-,TNFSF13B,COPG1,BAFF|BLYS|CD257|DTL|TALL-1|TALL1|THANK|TNFSF20|ZTNF4,COPG,Affinity Capture-MS,physical,Hubel P (2019),30833792,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
3479842,3303,22820,109535,116496,DAQB-147D11.1,-,HSPA1A,COPG1,HEL-S-103|HSP70-1|HSP70-1A|HSP70I|HSP72|HSPA1,COPG,Affinity Capture-MS,physical,Ryu SW (2020),32687490,9606,9606,High Throughput,-,-,-,Affinity capture MS was carried out to identify high confidence protein interactors in the presence of a misfolded protein,-,BIOGRID
3349190,801,805,107252,107256,-,-,CALM1,CALM2,CALML2|CAMI|CPVT4|DD132|PHKD|caM,CAMII|PHKD|PHKD2,Affinity Capture-MS,physical,Cho NH (2022),35271311,9606,9606,High Throughput,-,-,-,Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins,-,BIOGRID
3543119,10772,805,115990,107256,RP11-4M23.6,-,SRSF10,CALM2,FUSIP1|FUSIP2|NSSR|PPP1R149|SFRS13|SFRS13A|SRp38|SRrp40|TASR|TASR1|TASR2,CAMII|PHKD|PHKD2,Affinity Capture-MS,physical,Sohail M (2021),34316707,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
3584713,801,805,107252,107256,-,-,CALM1,CALM2,CALML2|CAMI|CPVT4|DD132|PHKD|caM,CAMII|PHKD|PHKD2,Negative Genetic,genetic,Ito T (2021),34857952,9606,9606,High Throughput,0.000345637,-,-,CRISPR GI screen|Cell Line:  PK1_PANCREAS score (3.07293446971601E-05)|Cell Line: IPC298_SKIN score (0.0003456372198456)|Experimental Setup: Timecourse-Synthetic Lethality|GIST: A-phenotypic negative genetic interaction|Library: Digenic Paralog CRISPR library|Significance Threshold: GEMINI FDR < 0.05,-,BIOGRID
670305,7917,126961,113647,126025,DADB-70P7.10-021,-,BAG6,HIST2H3C,BAG-6|BAT3|D6S52E|G3,H3|H3.2|H3/M|H3F2|H3FM|H3FN,Affinity Capture-Western,physical,Wakeman TP (2012),22373577,9606,9606,Low Throughput,-,-,-,figure 4A.,-,BIOGRID
670306,126961,7917,126025,113647,-,DADB-70P7.10-021,HIST2H3C,BAG6,H3|H3.2|H3/M|H3F2|H3FM|H3FN,BAG-6|BAT3|D6S52E|G3,Affinity Capture-Western,physical,Wakeman TP (2012),22373577,9606,9606,Low Throughput,-,-,-,figure 4A.,-,BIOGRID
2254727,8350,8968,113946,114458,-,-,HIST1H3A,HIST1H3F,H3/A|H3FA,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.932287735,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.932287735, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
3092126,8354,8968,113950,114458,RP1-193B12.1,-,HIST1H3I,HIST1H3F,H3.f|H3/f|H3FF,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.890770209,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.890770209, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
2216863,548593,79008,139225,122479,-,-,SLX1A,SLX1B,GIYD1,GIYD2,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,1.0,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
796036,8358,8353,113954,113949,-,RP1-34B20.8,HIST1H3B,HIST1H3E,H3/l|H3FL,H3.1|H3/d|H3FD,Affinity Capture-MS,physical,Foltz DR (2006),16622419,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
2236059,653220,653067,575617,575500,RP11-485B17.2,RP13-34L8.2,XAGE1B,XAGE1E,CT12.1|CT12.1A|CT12.1B|CTP9|GAGED2|XAGE-1|XAGE1|XAGE1A,CT12.1|CT12.1C|CT12.1D|CT12.1E|CTP9|GAGED2|XAGE-1|XAGE1|XAGE1C|XAGE1D,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.996862161,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.996862161, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
3092126,8354,8968,113950,114458,RP1-193B12.1,-,HIST1H3I,HIST1H3F,H3.f|H3/f|H3FF,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.890770209,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.890770209, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
2492956,6047,55795,111974,120908,RES4-26,RP11-98F14.6,RNF4,PCID2,SLX5|SNURF,F10,Affinity Capture-MS,physical,Kumar R (2017),29180619,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
1191018,730394,728340,610778,608768,-,-,GTF2H2C_2,GTF2H2C,GTF2H2D,GTF2H2C_2,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,1.0,-,-,"BioPlex 1.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.",-,BIOGRID
2217158,730394,728340,610778,608768,-,-,GTF2H2C_2,GTF2H2C,GTF2H2D,GTF2H2C_2,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.999999998,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999998, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
796036,8358,8353,113954,113949,-,RP1-34B20.8,HIST1H3B,HIST1H3E,H3/l|H3FL,H3.1|H3/d|H3FD,Affinity Capture-MS,physical,Foltz DR (2006),16622419,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
948561,8350,8969,113946,114459,-,-,HIST1H3A,HIST1H2AG,H3/A|H3FA,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Co-localization,physical,Soldi M (2013),23319141,9606,9606,Low Throughput,-,-,-,ChIP analysis,-,BIOGRID
2254727,8350,8968,113946,114458,-,-,HIST1H3A,HIST1H3F,H3/A|H3FA,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.932287735,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.932287735, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
2258520,8350,8969,113946,114459,-,-,HIST1H3A,HIST1H2AG,H3/A|H3FA,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.902629864,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.902629864, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
3028049,8968,8969,114458,114459,-,-,HIST1H3F,HIST1H2AG,H3/i|H3FI,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.952496586,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.952496586, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3047071,8353,8969,113949,114459,RP1-34B20.8,-,HIST1H3E,HIST1H2AG,H3.1|H3/d|H3FD,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.893315545,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.893315545, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3050194,8344,8969,113940,114459,-,-,HIST1H2BE,HIST1H2AG,H2B.h|H2B/h|H2BFH|dJ221C16.8,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.967503602,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.967503602, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3065452,8354,8969,113950,114459,RP1-193B12.1,-,HIST1H3I,HIST1H2AG,H3.f|H3/f|H3FF,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.978796368,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.978796368, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3067479,8350,8969,113946,114459,-,-,HIST1H3A,HIST1H2AG,H3/A|H3FA,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.898635386,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.898635386, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3091568,8346,8969,113942,114459,-,-,HIST1H2BI,HIST1H2AG,H2B/k|H2BFK,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.969577445,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.969577445, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3092126,8354,8968,113950,114458,RP1-193B12.1,-,HIST1H3I,HIST1H3F,H3.f|H3/f|H3FF,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.890770209,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.890770209, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3170323,8358,8969,113954,114459,-,-,HIST1H3B,HIST1H2AG,H3/l|H3FL,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.880391096,-,-,"BioPlex HCT HCT116 cells CompPASS score = 0.880391096, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3178935,8336,3017,113932,109270,-,-,HIST1H2AM,HIST1H2BD,H2A.1|H2A/n|H2AFN|dJ193B12.1,H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.999999999,-,-,"BioPlex HCT HCT116 cells CompPASS score = 0.999999999, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3206942,1514,8683,107894,114231,RP11-65B23.1,-,CTSL,SRSF9,CATL|CTSL1|MEP,SFRS9|SRp30c,Affinity Capture-MS,physical,Liu X (2021),34709727,9606,9606,High Throughput,1.0,-,-,High confidence interactions are assigned based on their statistical filtering score (BFDR =< 0.01) and further refined using the CRAPome contaminant repository.|The associated score is the original published SAINT score determined by the authors using Significance Analysis of INTeractome (SAINT) express version 3.6.0.,-,BIOGRID
3676752,8969,8347,114459,113943,-,-,HIST1H2AG,HIST1H2BC,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,H2B.1|H2B/l|H2BFL|dJ221C16.3,Cross-Linking-MS (XL-MS),physical,Wheat A (2021),34349018,9606,9606,High Throughput,-,-,-,"In vivo cross-linking-mass spectrometry (XL-MS) was carried out in HEK-293 cells using the cross-linking reagent Alkyne-A-DSBSO (Azide/Alkyne-tagged, acid-cleavable disuccinimidyl bissulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR < 1%.",-,BIOGRID
3677691,8969,8350,114459,113946,-,-,HIST1H2AG,HIST1H3A,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,H3/A|H3FA,Cross-Linking-MS (XL-MS),physical,Wheat A (2021),34349018,9606,9606,High Throughput,-,-,-,"In vivo cross-linking-mass spectrometry (XL-MS) was carried out in HEK-293 cells using the cross-linking reagent Alkyne-A-DSBSO (Azide/Alkyne-tagged, acid-cleavable disuccinimidyl bissulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR < 1%.",-,BIOGRID
3677751,8347,3017,113943,109270,-,-,HIST1H2BC,HIST1H2BD,H2B.1|H2B/l|H2BFL|dJ221C16.3,H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6,Cross-Linking-MS (XL-MS),physical,Wheat A (2021),34349018,9606,9606,High Throughput,-,-,-,"In vivo cross-linking-mass spectrometry (XL-MS) was carried out in HEK-293 cells using the cross-linking reagent Alkyne-A-DSBSO (Azide/Alkyne-tagged, acid-cleavable disuccinimidyl bissulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR < 1%.",-,BIOGRID
